type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
C,7500,2,5.0,37500,0.6912646303168712,0.7836538461538461,0.6680327868852459
C,7500,3,5.0,37500,0.694135115070527,0.7788461538461539,0.6721991701244814
C,7500,1,6.0,45000,0.7025094696969697,0.7644230769230769,0.6853448275862069
C,7500,2,6.0,45000,0.6918218085106382,0.7740384615384616,0.6708333333333333
C,7500,3,6.0,45000,0.6915508021390374,0.7788461538461539,0.6694214876033058
C,7500,1,7.0,52500,0.6866547831253713,0.7740384615384616,0.6652892561983471
C,7500,2,7.0,52500,0.6915508021390374,0.7788461538461539,0.6694214876033058
C,7500,3,7.0,52500,0.6892412769116555,0.7740384615384616,0.6680497925311203
C,7500,1,8.0,60000,0.7023050863518987,0.7692307692307693,0.6837606837606838
C,7500,2,8.0,60000,0.6943964775485256,0.7740384615384616,0.6736401673640168
C,7500,3,8.0,60000,0.6918218085106382,0.7740384615384616,0.6708333333333333
C,7500,1,9.0,67500,0.6978517639623418,0.8028846153846154,0.6706827309236948
C,7500,2,9.0,67500,0.6943964775485256,0.7740384615384616,0.6736401673640168
C,7500,3,9.0,67500,0.6912646303168712,0.7836538461538461,0.6680327868852459
C,7500,1,10.0,75000,0.6964468211527035,0.7836538461538461,0.6735537190082644
C,7500,2,10.0,75000,0.6964468211527035,0.7836538461538461,0.6735537190082644
C,7500,3,10.0,75000,0.6999698051544376,0.7644230769230769,0.6824034334763949
B,10981,1,-1.0,10981,0.5559851864431135,0.9038461538461539,0.5645645645645646
B,10981,2,-1.0,10981,0.5583440202558285,0.9182692307692307,0.5667655786350149
B,10981,3,-1.0,10981,0.5709859974776057,0.8990384615384616,0.5718654434250765
A,10981,1,0.0,0,0.6883528395723517,0.5817307692307693,0.7515527950310559
A,10981,2,0.0,0,0.6709167825340947,0.6009615384615384,0.7062146892655368
A,10981,3,0.0,0,0.6802284590272717,0.6009615384615384,0.7225433526011561
C,10981,1,0.25,2745,0.676755997852748,0.6346153846153846,0.6984126984126984
C,10981,2,0.25,2745,0.6741352850903082,0.625,0.6989247311827957
C,10981,3,0.25,2745,0.6761752799692697,0.6153846153846154,0.7071823204419889
C,10981,1,0.5,5490,0.6697784064120698,0.6442307692307693,0.6836734693877551
C,10981,2,0.5,5490,0.6625239400100179,0.6394230769230769,0.6751269035532995
C,10981,3,0.5,5490,0.6742660247333144,0.6298076923076923,0.6968085106382979
C,10981,1,0.75,8235,0.6698717948717949,0.6538461538461539,0.68
